Wetlands education,1,3,3,3,1,0,1,2,3,3,3,3,3,3,3,2,1
Restaurant (indoors),0,0,2,2,3,3,1,2,3,3,1,1,1,2,3,3,2
Restaurant (outdoors),0,0,3,2,3,0,0,1,3,2,1,1,1,2,3,3,2
Kiosks,0,0,1,3,2,0,0,1,3,2,1,1,1,1,2,3,3
Nursery (workers),3,3,3,2,1,0,2,3,3,2,2,2,2,2,2,3,3
Nursery (visitors),1,1,2,3,0,0,1,3,3,2,1,1,1,1,1,3,2
Steel workers' union,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,2,1
Running trail,3,1,1,2,2,0,1,2,3,3,2,2,2,2,2,3,2
Playground,0,1,3,2,1,0,0,3,2,3,3,3,3,3,3,2,2
Kayak launch,3,0,0,1,2,0,0,2,3,2,1,1,1,1,2,3,3
BBQ pits,0,0,2,3,2,0,0,1,3,2,1,1,1,1,2,3,3
Water taxi,1,1,2,3,1,1,0,2,3,2,1,1,1,1,1,3,2
Birdwatching,3,2,1,0,0,0,1,3,1,3,3,3,3,3,3,1,1
